Activity,Time Lower Bound (TLB),Time Upper Bound (TUB)
Sleep,10:00 p.m.,7:00 a.m.
Drunk Sleep,10:00 p.m.,7:00 a.m.
High Sleep,10:00 p.m.,7:00 a.m.
Crunk Sleep,10:00 p.m.,7:00 a.m.
Couch + TV,,
Game Console,,
Computer,,
Couch + Weed,,
Couch + Beer,,
Outside: Friends Drinking,11:00 a.m.,2:00 a.m.
Outside: Friends Smoking,,
Outside: Clubbing,10:00 p.m.,1:00 a.m.
Outside: Movie,7:00 a.m.,12:00 a.m.
Outside: Pickleball,8:00 a.m.,5:00 p.m.
Outside: Cards,,
Couch + Vibing,,
Ordering Food + Eating,7:00 a.m.,12:00 a.m.
Outside: Friends Eating,7:00 a.m.,12:00 a.m.
Taking headache medicine,,
Taking sleeping pill,,
Napping,,
